Value,Disaggregation combinations using this value,Number of indicators
American Indian and Alaska Native,4,1
Asian,4,1
Black or African American,4,1
Female,4,1
Hispanic or Latino origin (of any race),4,1
Male,4,1
Native Hawaiian and Other Pacific Islander,4,1
Some other race,4,1
Total,4,1
Two or more races,4,1
"White , not Hispanic or Latino",4,1
White,4,1
