Year,Unnamed: 0,Value
2012,1,0.0660374359283444
2013,2,0.070018787770156
2014,3,0.0721849059924325
2015,4,0.0706839488254497
2016,5,0.0666666876802969
2017,6,0.0625534242401348
2018,7,0.0592100504827414
2019,8,0.0543832446228788
