"Year","Value"
2012,0.0660374359283444
2013,0.070018787770156
2014,0.0721849059924325
2015,0.0706839488254497
2016,0.0666666876802969
2017,0.0625534242401348
2018,0.0592100504827414
2019,0.0543832446228788
